JobSalesDetails
SalesDetails_ID,Job_ID,User_ID
1,34,6
2,19,6
3,37,30
4,38,41
5,40,9
6,50,18
7,40,49
8,47,45
9,10,28
10,40,18
11,30,50
12,37,35
13,42,16
14,42,4
15,12,28
16,33,8
17,47,40
18,4,46
19,13,2
20,15,14
21,38,6
22,23,44
23,12,33
24,27,27
25,50,23
26,48,20
27,43,33
28,30,18
29,5,9
30,39,31
31,44,15
32,3,18
33,33,28
34,20,2
35,24,26
36,20,48
37,7,22
38,8,16
39,4,46
40,43,5
41,23,47
42,39,44
43,32,27
44,48,31
45,18,18
46,38,30
47,40,14
48,4,50
49,35,13
50,8,29
51,6,32
52,50,11
53,16,14
54,31,48
55,27,25
56,44,4
57,16,12
58,20,36
59,19,27
60,46,16
61,19,38
62,29,34
63,31,22
64,6,29
65,4,49
66,4,16
67,39,35
68,1,19
69,25,13
70,49,31
71,40,10
72,43,37
73,42,20
74,31,19
75,15,25
76,8,15
77,12,3
78,39,32
79,46,36
80,39,19
81,20,6
82,41,8
83,19,37
84,49,11
85,2,32
86,37,15
87,18,20
88,22,18
89,1,5
90,4,33
91,38,43
92,6,17
93,11,12
94,38,37
95,14,41
96,16,43
97,8,37
98,24,7
99,46,41
100,43,45
101,41,9
102,47,19
103,36,9
104,20,50
105,35,41
106,26,25
107,25,21
108,21,18
109,32,17
110,4,22
111,19,15
112,30,45
113,22,17
114,16,7
115,5,32
116,35,48
117,16,24
118,15,6
119,3,48
120,46,21
121,24,34
122,23,46
123,45,5
124,29,6
125,5,24
126,21,39
127,8,20
128,37,37
129,5,24
130,36,36
131,11,11
132,43,7
133,43,15
134,31,23
135,25,16
136,14,43
137,21,44
138,34,9
139,10,39
140,43,20
141,46,17
142,48,6
143,49,23
144,49,23
145,42,39
146,15,40
147,2,25
148,13,29
149,32,5
150,24,25
151,13,19
152,33,14
153,11,12
154,31,10
155,34,13
156,46,5
157,50,19
158,49,33
159,37,2
160,7,42
161,16,34
162,46,1
163,1,21
164,43,47
165,1,47
166,19,26
167,40,6
168,22,9
169,31,32
170,39,21
171,16,45
172,33,16
173,10,27
174,20,44
175,48,16
176,24,49
177,31,34
178,20,6
179,25,49
180,35,38
181,31,43
182,40,37
183,29,21
184,27,39
185,38,34
186,49,44
187,12,47
188,49,19
189,10,39
190,34,4
191,9,15
192,33,33
193,36,30
194,10,47
195,27,44
196,29,21
197,19,32
198,19,35
199,46,12
200,38,3
201,34,33
202,19,46
203,4,49
204,42,33
205,6,45
206,4,23
207,44,11
208,40,17
209,14,16
210,42,12
211,45,41
212,15,2
213,34,8
214,20,37
215,37,17
216,23,1
217,50,42
218,47,35
219,30,29
220,13,40
221,27,1
222,1,35
223,26,21
224,23,29
225,8,19
226,42,40
227,40,3
228,19,41
229,25,41
230,15,47
231,23,12
232,34,17
233,7,9
234,19,34
235,33,16
236,12,4
237,30,13
238,38,33
239,40,20
240,49,2
241,26,19
242,15,46
243,16,3
244,41,23
245,31,25
246,31,27
247,41,31
248,29,21
249,8,25
250,13,31
251,13,43
252,23,37
253,40,14
254,10,39
255,18,23
256,25,37
257,10,45
258,49,16
259,36,26
260,8,50
261,39,25
262,10,6
263,27,30
264,32,46
265,48,10
266,21,10
267,15,23
268,11,47
269,22,23
270,34,10
271,12,29
272,45,30
273,32,20
274,48,3
275,19,9
276,34,45
277,11,21
278,48,48
279,3,46
280,1,12
281,28,38
282,12,44
283,4,20
284,12,22
285,19,1
286,13,32
287,31,7
288,43,14
289,15,16
290,44,44
291,6,12
292,20,7
293,12,50
294,31,18
295,5,47
296,28,7
297,3,35
298,15,2
299,5,45
300,37,12
301,21,49
302,41,25
303,28,12
304,35,7
305,38,11
306,41,31
307,5,10
308,28,40
309,4,14
310,22,35
311,14,43
312,30,31
313,30,3
314,13,8
315,28,37
316,39,4
317,27,13
318,47,50
319,17,12
JobStatus
JobStatus_ID,Job_ID,Status_ID,DateCreated
1,1,1,2020-04-24 07:02:11
2,2,1,2020-01-31 14:39:51
3,3,1,2020-04-20 08:43:50
4,4,1,2020-01-16 15:07:53
5,5,1,2020-02-11 19:49:15
6,6,1,2020-03-01 10:12:34
7,7,1,2020-04-09 21:18:11
8,8,1,2020-02-27 16:13:52
9,9,1,2020-02-26 10:36:14
10,10,1,2020-02-13 23:17:32
11,11,1,2020-05-04 00:44:48
12,12,1,2020-02-09 10:00:46
13,13,1,2020-03-28 11:33:04
14,14,1,2020-02-26 05:28:50
15,15,1,2020-01-27 03:55:34
16,16,1,2020-01-27 08:27:23
17,17,1,2020-02-27 06:56:22
18,18,1,2020-03-24 03:09:42
19,19,1,2020-02-28 00:01:33
20,20,1,2020-03-05 08:45:53
21,21,1,2020-02-07 06:09:08
22,22,1,2020-03-29 06:31:00
23,23,1,2020-03-08 16:52:17
24,24,1,2020-02-10 11:03:36
25,25,1,2020-01-15 06:13:48
26,26,1,2020-02-01 06:48:48
27,27,1,2020-02-15 05:59:49
28,28,1,2020-04-18 01:06:23
29,29,1,2020-02-07 17:53:14
30,30,1,2020-03-10 10:44:39
31,31,1,2020-01-08 04:51:34
32,32,1,2020-04-02 17:51:40
33,33,1,2020-03-27 22:00:50
34,34,1,2020-03-30 16:41:56
35,35,1,2020-03-18 17:03:57
36,36,1,2020-04-06 13:26:47
37,37,1,2020-02-08 21:21:57
38,38,1,2020-01-19 21:12:08
39,39,1,2020-03-08 17:02:59
40,40,1,2020-04-16 21:27:50
41,41,1,2020-03-23 01:50:30
42,42,1,2020-02-09 11:10:09
43,43,1,2020-03-01 15:43:56
44,44,1,2020-01-01 21:20:48
45,45,1,2020-02-27 23:44:15
46,46,1,2020-03-04 19:51:17
47,47,1,2020-05-09 04:23:52
48,48,1,2020-04-14 21:34:16
49,49,1,2020-02-17 02:21:27
50,50,1,2020-01-08 10:47:48
51,51,1,
JobSubDetails
SubDetails_ID,Job_ID,Contact_ID
1,12,44
3,49,34
4,49,50
5,49,28
6,10,25
7,10,29
9,10,47
10,33,2
11,33,4
12,33,27
14,15,13
16,15,15
18,40,14
20,37,29
21,37,40
22,37,31
23,24,15
25,38,23
27,38,1
29,41,42
30,41,36
31,23,33
32,23,14
33,23,29
36,29,10
37,29,15
38,36,4
39,36,7
41,36,6
42,18,31
43,18,13
46,5,47
49,21,13
50,48,27
51,48,11
52,48,4
54,25,10
55,28,47
56,34,27
57,34,31
59,34,13
60,13,43
62,8,47
63,20,23
65,20,28
66,20,43
67,4,12
69,3,47
70,1,34
72,1,4
73,14,11
74,14,38
75,32,43
76,32,40
77,32,48
78,35,47
80,35,29
81,26,10
83,26,29
84,26,50
85,44,14
89,27,5
93,42,47
94,42,6
96,31,24
97,2,16
99,43,11
100,47,37
101,47,13
102,6,11
103,6,25
104,7,24
105,46,12
106,46,50
107,22,4
108,22,24
110,30,50
112,39,4
113,39,7
114,9,50
115,9,6
117,9,33
118,50,11
119,50,50
120,50,4
JobCost
JobCost_ID,Job_ID,MaterialsCost,Additions
1,1,9923.14,6982.98
2,2,319.03,1068.81
3,3,2087.57,9406.13
4,4,8311.49,1482.67
5,5,838.47,1374.09
6,6,5250.52,6563.03
7,7,2869.11,3583.85
8,8,408.55,7958.08
9,9,7413.05,9527.43
10,10,2836.47,1299.81
11,11,7869.19,2252.16
12,12,8656.4,4629.46
13,13,1253.21,2747.51
14,14,4006.07,3239.8
15,15,2253.29,1270.52
16,16,2304.78,1121.99
17,17,7091.25,1093.02
18,18,1305.94,2359.78
19,19,8441.82,1746.83
20,20,9317.35,1171.89
21,21,327.36,2627.94
22,22,4316.35,8609.0
23,23,7334.27,6971.18
24,24,3363.93,6244.41
25,25,9251.04,3490.79
26,26,9280.76,5003.41
27,27,2342.34,228.05
28,28,1519.45,4073.6
29,29,5052.63,494.84
30,30,135.2,2869.66
31,31,5280.64,7666.65
32,32,8079.46,2583.45
33,33,1086.51,2535.26
34,34,1625.71,3912.68
35,35,2910.84,9869.01
36,36,7968.6,3468.53
37,37,1197.82,9448.64
38,38,6294.34,4190.9
39,39,5812.11,2445.63
40,40,5260.72,3529.32
41,41,8304.47,6550.56
42,42,5553.73,9970.68
43,43,6637.3,7548.28
44,44,6473.24,7176.13
45,45,3675.63,4686.04
46,46,1104.39,8740.2
47,47,5536.2,9331.75
48,48,8993.31,3652.11
49,49,3492.91,187.55
50,50,894.76,8969.36
51,51,5000.0,2000.0
Job
JOB_ID,Client_ID,Estimate,Payout,Hours,Last_active,JobCost_ID
1,1,5283.55,8750.13,0,2020-04-24 07:02:11,1
2,2,9001.7,534.17,17,2020-01-31 14:39:51,2
3,3,3975.73,464.57,17,2020-04-20 08:43:50,3
4,4,8817.53,5114.87,1,2020-01-16 15:07:53,4
5,5,5613.32,8298.69,20,2020-02-11 19:49:15,5
6,6,7003.22,9601.39,12,2020-03-01 10:12:34,6
7,7,1751.24,5718.6,2,2020-04-09 21:18:11,7
8,8,1292.6,3350.38,18,2020-02-27 16:13:52,8
9,9,8559.24,3804.43,12,2020-02-26 10:36:14,9
10,10,6208.28,1852.6,12,2020-02-13 23:17:32,10
11,11,1959.08,891.12,15,2020-05-04 00:44:48,11
12,12,8854.42,1443.45,14,2020-02-09 10:00:46,12
13,13,876.08,7918.81,12,2020-03-28 11:33:04,13
14,14,6050.82,5436.67,0,2020-02-26 05:28:50,14
15,15,2086.02,6787.52,12,2020-01-27 03:55:34,15
16,16,2792.09,9883.48,13,2020-01-27 08:27:23,16
17,17,6319.74,8967.37,13,2020-02-27 06:56:22,17
18,18,9326.97,6178.21,17,2020-03-24 03:09:42,18
19,19,5226.76,2977.27,19,2020-02-28 00:01:33,19
20,20,2858.45,9356.01,20,2020-03-05 08:45:53,20
21,21,3232.23,2891.39,15,2020-02-07 06:09:08,21
22,22,4649.36,3196.27,10,2020-03-29 06:31:00,22
23,23,5319.83,4013.01,17,2020-03-08 16:52:17,23
24,24,8346.04,3083.7,13,2020-02-10 11:03:36,24
25,25,3949.17,8547.75,14,2020-01-15 06:13:48,25
26,26,2793.12,1640.87,7,2020-02-01 06:48:48,26
27,27,5680.2,392.98,7,2020-02-15 05:59:49,27
28,28,2756.8,109.96,20,2020-04-18 01:06:23,28
29,29,8582.19,2050.41,19,2020-02-07 17:53:14,29
30,30,4963.93,8280.79,3,2020-03-10 10:44:39,30
31,31,4721.69,1598.33,6,2020-01-08 04:51:34,31
32,32,7425.58,3077.21,5,2020-04-02 17:51:40,32
33,33,7598.1,6229.7,17,2020-03-27 22:00:50,33
34,34,3179.14,5502.21,19,2020-03-30 16:41:56,34
35,35,3991.1,1530.3,7,2020-03-18 17:03:57,35
36,36,1713.48,5179.79,6,2020-04-06 13:26:47,36
37,37,8370.54,1374.91,4,2020-02-08 21:21:57,37
38,38,8442.18,7303.62,10,2020-01-19 21:12:08,38
39,39,1797.43,8415.34,14,2020-03-08 17:02:59,39
40,40,4212.67,5261.94,5,2020-04-16 21:27:50,40
41,41,6134.56,8973.22,6,2020-03-23 01:50:30,41
42,42,352.0,157.76,20,2020-02-09 11:10:09,42
43,43,4006.31,1579.08,11,2020-03-01 15:43:56,43
44,44,7513.62,6440.77,19,2020-01-01 21:20:48,44
45,45,135.77,4565.57,3,2020-02-27 23:44:15,45
46,46,5672.05,5828.2,17,2020-03-04 19:51:17,46
47,47,4305.16,7300.54,2,2020-05-09 04:23:52,47
48,48,4334.75,7957.4,14,2020-04-14 21:34:16,48
49,49,4899.08,1108.23,18,2020-02-17 02:21:27,49
50,50,605.27,9724.63,13,2020-01-08 10:47:48,50
51,1,6000.0,8000.0,12,,51
Contacts
Contact_ID,ContactName,URL,Email,Phone,CompanyCategory_ID,Notes,DeletedAt
1,Mr. David Klein Jr.,https://www.hall-weber.biz/,drangel@lee.net,524.875.4633x2091,2,,
2,Andrea Robinson,http://www.ramirez-stephenson.com/,spencerallison@gmail.com,083-063-4219,4,,
4,Timothy Jackson,https://hunt.biz/,jenkinsnatasha@boyd.com,8167314760,2,,
5,Kiara Clark,http://thompson.com/,lindseydavis@johnson.info,121.562.0773,2,,
6,Daniel Cross,http://harris-perez.com/,mherring@anthony.info,+1-699-431-1989x468,1,,
7,David Olson,https://www.greer.net/,craigcarter@gmail.com,378-216-8493x276,3,,
10,Travis Jones,https://www.buck-snyder.info/,hineselizabeth@yahoo.com,398.708.3639x818,3,,
11,Kathleen Norris,https://mcguire.net/,christophermelton@white.biz,400-117-4281x474,3,,
12,John Mejia,http://vazquez.info/,zachary66@gmail.com,992.476.9530x33412,1,,
