Mr. William Sanford Jr.,507 Bonilla Shoals,Andreabury,DC,43636,mackenziemiller@gallagher.com,069.893.0814,Plumbing,Carpentry,Electric,Roofing,Sales,Finance,Marketing,Owner,Accepted,1921.84,1146.38,6.02,2020-02-04 04:57:51,3648.73,4288.89,Lead,Client has made contact with Company regarding job,Accepted,Terms have been negotiated and contract signed,Declined,Negotiations did not succeed - job not accepted,Cancelled,Job has been permanently cancelled,Postponed,Job has been postponed due to some type of emergency,2,2020-03-11 09:32:50,Carrie Martin,https://flores-miller.com/,rangeljane@watson.com,(779)504-0244x6888,0,0,,1,8,1,1,,2
Patrick Flowers,3231 Matthew Pass Apt. 559,Tracyburgh,WA,54139,katelynrhodes@hotmail.com,9796520441,Plumbing,Carpentry,Electric,Roofing,Sales,Finance,Marketing,Owner,Finished,9557.56,2860.2,11.14,2020-01-05 12:09:00,1796.89,1613.96,Lead,Client has made contact with Company regarding job,Accepted,Terms have been negotiated and contract signed,Declined,Negotiations did not succeed - job not accepted,Cancelled,Job has been permanently cancelled,Postponed,Job has been postponed due to some type of emergency,1,2020-02-20 21:46:56,Andrew Rodriguez,http://www.chapman.com/,jacquelinemoss@velasquez.com,+1-141-853-4037,4,0,2020-02-03 01:27:01,1,4,3,2,2020-03-24 19:00:03,10
Teresa Reynolds,1395 Allen Locks,North Amyhaven,UT,91954,garciaanna@cooper.com,883-384-7835x21011,Plumbing,Carpentry,Electric,Roofing,Sales,Finance,Marketing,Owner,Finished,2758.45,5007.65,18.89,2020-03-04 00:50:08,9635.02,2522.1,Lead,Client has made contact with Company regarding job,Accepted,Terms have been negotiated and contract signed,Declined,Negotiations did not succeed - job not accepted,Cancelled,Job has been permanently cancelled,Postponed,Job has been postponed due to some type of emergency,4,,Larry Carpenter,http://www.jones.com/,emason@austin-swanson.com,(553)884-4013,4,0,,1,7,3,3,2020-03-03 15:47:46,10
Michael Moreno,1402 Brenda Trace,Joshuaside,OH,90598,xwest@hotmail.com,466.165.6653x841,Plumbing,Carpentry,Electric,Roofing,Sales,Finance,Marketing,Owner,Declined,2131.16,5995.66,7.96,2020-03-04 16:59:49,3713.24,4754.83,Lead,Client has made contact with Company regarding job,Accepted,Terms have been negotiated and contract signed,Declined,Negotiations did not succeed - job not accepted,Cancelled,Job has been permanently cancelled,Postponed,Job has been postponed due to some type of emergency,4,,Ryan Yates,http://parks.com/,pcraig@hotmail.com,047-237-1155,2,0,2020-03-14 15:11:00,2,8,2,4,,4
Antonio Nolan,7184 Kyle Spring Suite 095,West Makayla,NJ,92701,arnoldaaron@gmail.com,+1-761-867-1290x8061,Plumbing,Carpentry,Electric,Roofing,Sales,Finance,Marketing,Owner,Finished,8478.54,1474.42,13.64,2020-04-01 13:47:38,9181.12,9432.57,Lead,Client has made contact with Company regarding job,Accepted,Terms have been negotiated and contract signed,Declined,Negotiations did not succeed - job not accepted,Cancelled,Job has been permanently cancelled,Postponed,Job has been postponed due to some type of emergency,2,2020-01-02 17:51:17,Jason Bartlett,https://lee.com/,stephaniemedina@gmail.com,+1-638-703-0041x586,2,0,,3,7,1,5,2020-03-19 11:51:42,10
Charles Herrera,856 Watts Summit,Christinamouth,ND,27413,michaelblack@ayers.com,001-130-854-6838x841,Plumbing,Carpentry,Electric,Roofing,Sales,Finance,Marketing,Owner,Accepted,6492.22,7912.45,11.84,2020-04-21 03:28:46,7152.28,3296.58,Lead,Client has made contact with Company regarding job,Accepted,Terms have been negotiated and contract signed,Declined,Negotiations did not succeed - job not accepted,Cancelled,Job has been permanently cancelled,Postponed,Job has been postponed due to some type of emergency,2,2020-04-06 14:34:21,Jason Martin,http://hamilton.com/,christopher79@vasquez.com,+1-425-320-3413x7632,2,0,2020-02-23 13:58:56,6,8,1,6,2020-03-01 15:49:41,2
Jackie Garcia,20153 Jason Mall Suite 858,Cisnerosland,PA,25148,qcooke@gregory.biz,(621)369-6102x552,Plumbing,Carpentry,Electric,Roofing,Sales,Finance,Marketing,Owner,Postponed,9948.49,4144.68,7.66,2020-01-24 20:20:35,5998.72,4201.31,Lead,Client has made contact with Company regarding job,Accepted,Terms have been negotiated and contract signed,Declined,Negotiations did not succeed - job not accepted,Cancelled,Job has been permanently cancelled,Postponed,Job has been postponed due to some type of emergency,3,,John Perez,https://rodriguez.net/,kellerlisa@gmail.com,776.260.9618x75989,0,0,2020-03-20 15:00:51,7,2,1,7,2020-04-20 02:56:04,8
Mrs. Natasha Wright DDS,606 Derrick Rapids,Davidshire,CA,78364,michellehill@gonzalez-hoffman.com,001-478-044-7995x9412,Plumbing,Carpentry,Electric,Roofing,Sales,Finance,Marketing,Owner,Postponed,4372.13,9508.13,20.41,2020-02-05 21:46:27,1457.79,8820.61,Lead,Client has made contact with Company regarding job,Accepted,Terms have been negotiated and contract signed,Declined,Negotiations did not succeed - job not accepted,Cancelled,Job has been permanently cancelled,Postponed,Job has been postponed due to some type of emergency,3,,Daniel Hall,https://bailey.com/,carrie67@yahoo.com,(095)065-4510x052,0,0,2020-02-28 18:16:38,3,2,3,8,2020-02-14 06:31:52,8
Travis Wilcox,6568 Steve Well,Clarkborough,CT,98104,adamsjamie@gmail.com,+1-147-394-5052,Plumbing,Carpentry,Electric,Roofing,Sales,Finance,Marketing,Owner,Cancelled,26.98,4738.26,8.37,2020-02-28 19:59:43,3387.41,980.61,Lead,Client has made contact with Company regarding job,Accepted,Terms have been negotiated and contract signed,Declined,Negotiations did not succeed - job not accepted,Cancelled,Job has been permanently cancelled,Postponed,Job has been postponed due to some type of emergency,1,,Alexis Powell,https://www.richardson-marshall.org/,athomas@robinson.org,976-912-8284,4,0,2020-03-29 07:26:36,6,6,2,9,2020-02-27 16:44:53,6
Ryan Richardson,4414 West Lake,Lake Ellen,NM,85501,gregorywarren@yahoo.com,915-467-0719x404,Plumbing,Carpentry,Electric,Roofing,Sales,Finance,Marketing,Owner,Postponed,7963.9,5741.56,1.79,2020-03-30 18:11:25,1224.36,5315.76,Lead,Client has made contact with Company regarding job,Accepted,Terms have been negotiated and contract signed,Declined,Negotiations did not succeed - job not accepted,Cancelled,Job has been permanently cancelled,Postponed,Job has been postponed due to some type of emergency,4,2020-01-09 22:31:33,Reginald Alexander,http://walker.com/,pcruz@tate.com,(503)159-2266x76108,0,0,2020-03-03 13:55:24,6,9,1,10,2020-04-20 15:20:54,8
